time(s) voltage(V)	current(A)
0	0000000000	101101010
0.0005	0000110001	101011000
0.001	0001100000	101011000
0.0015	0010001101	100101110
0.002	0010110111	100010111
0.0025	0011011100	000000000
0.003	0011111100	000010111
0.0035	0100010101	000101110
0.004	0100101000	001000100
0.0045	0100110011	001011000
0.005	0100110111	001101010
0.0055	0100110011	001111001
0.006	0100101000	010000110
0.0065	0100010101	010001111
0.007	0011111100	010010100
0.0075	0011011100	010010110
0.008	0010110111	010010100
0.0085	0010001101	010001111
0.009	0001100000	010000110
0.0095	0000110001	001111001
0.01	0000000000	001101010
0.0105	1000110001	001011000
0.011	1001100000	001011000
0.0115	1010001101	001011000
0.012	1010110111	000010111
0.0125	1011011100	000000000
0.013	1011111100	100010111
0.0135	1100010101	100101110
0.014	1100101000	101000100
0.0145	1100110011	101011000
0.015	1100110111	101101010
0.0155	1100110011	101111001
0.016	1100101000	110000110
0.0165	1100010101	110001111
0.017	1011111100	110010100
0.0175	1011011100	110010110
0.018	1010110111	110010100
0.0185	1010001101	110001111
0.019	1001100000	110000110
0.0195	1000110001	101111001
0.02	0000000000	101101010

